date,article_id,source
1995-05-23 07:14:19,cmp-lg/9505038v1,arXiv
2001-04-11 21:44:59,hep-th/0104111v1,arXiv
2003-11-29 14:08:56,cs/0312001v3,arXiv
2005-12-08 01:20:24,physics/0512066v2,arXiv
2005-12-27 05:59:07,physics/0512247v1,arXiv
2006-12-22 19:19:41,cs/0612126v1,arXiv
2007-07-13 15:34:22,0707.2042v1,arXiv
2007-07-24 14:23:37,0707.3560v1,arXiv
2007-07-24 14:28:01,0707.3563v1,arXiv
2007-08-14 08:17:45,0708.1818v1,arXiv
2008-01-02 05:04:27,0801.0337v2,arXiv
2008-04-24 10:13:53,0804.3882v1,arXiv
2009-02-12 18:25:13,0902.2187v1,arXiv
2009-03-25 12:16:29,0903.4314v1,arXiv
2009-04-14 11:21:47,0904.2096v1,arXiv
2009-04-23 07:56:11,0904.3612v1,arXiv
2009-10-30 03:08:32,0910.5776v1,arXiv
2009-11-02 02:06:49,0911.0226v1,arXiv
2010-03-03 03:31:29,1003.0723v2,arXiv
2010-05-25 13:16:29,1005.4564v1,arXiv
2011-03-10 16:00:52,1103.2063v1,arXiv
2011-04-05 09:16:34,1104.0780v1,arXiv
2011-04-06 20:40:38,1104.1191v1,arXiv
2011-06-28 05:57:37,1106.5569v1,arXiv
2011-06-28 06:08:38,1106.5571v1,arXiv
2011-07-27 05:30:40,1107.5387v1,arXiv
2011-10-13 03:13:54,1110.3307v1,arXiv
2011-11-07 16:12:31,1111.1628v1,arXiv
2011-11-13 07:13:23,1111.2993v1,arXiv
2012-06-18 16:05:47,1206.3975v1,arXiv
2012-07-11 11:17:28,1207.2597v1,arXiv
2012-07-18 08:02:33,1207.4291v1,arXiv
2012-08-30 00:58:22,1208.6057v1,arXiv
2012-09-27 07:15:22,1209.6140v1,arXiv
2012-11-11 12:36:36,1211.2412v1,arXiv
2013-01-19 07:01:46,1301.4535v1,arXiv
2013-02-08 13:11:39,1302.2024v1,arXiv
2013-05-11 12:32:04,1305.2500v1,arXiv
2013-05-23 20:00:00,1305.5534v1,arXiv
2013-08-27 12:44:54,1308.5843v1,arXiv
2013-09-17 18:13:01,1309.4413v2,arXiv
2013-11-04 18:29:54,1311.0806v1,arXiv
2013-11-26 14:00:24,1311.6670v1,arXiv
2013-12-16 11:33:06,1312.4322v1,arXiv
2013-12-23 09:43:09,1312.6497v1,arXiv
2014-01-16 20:42:32,1401.4158v1,arXiv
2014-01-30 05:33:27,1401.7743v1,arXiv
2014-02-17 09:46:16,1402.3942v1,arXiv
2014-05-05 14:28:13,1405.0910v1,arXiv
2014-05-19 19:10:15,1405.4843v1,arXiv
2014-06-04 00:14:06,1406.0912v3,arXiv
2014-06-12 04:46:32,1406.3117v1,arXiv
2014-06-19 18:57:03,1406.5151v1,arXiv
2014-07-10 14:36:10,1407.2807v1,arXiv
2014-07-27 13:21:10,1407.7223v1,arXiv
2014-08-06 03:16:21,1408.1173v1,arXiv
2014-10-28 15:46:44,1410.7670v1,arXiv
2014-11-10 06:15:42,1411.2335v1,arXiv
2014-11-19 07:52:04,1411.5137v1,arXiv
2014-12-15 15:31:05,1412.4638v1,arXiv
2014-12-26 19:31:52,1412.7975v1,arXiv
2015-02-12 16:36:55,1502.03723v1,arXiv
2015-02-26 14:23:39,1502.07939v1,arXiv
2015-03-23 21:57:46,1503.06854v2,arXiv
2015-03-24 09:28:28,1503.06959v1,arXiv
2015-04-03 10:44:23,1504.00802v1,arXiv
2015-04-09 15:52:59,1504.02358v1,arXiv
2015-04-23 22:55:08,1504.06359v5,arXiv
2015-05-05 15:57:36,1505.01056v2,arXiv
2015-05-06 10:56:12,1505.01319v3,arXiv
2015-06-19 03:11:33,1506.05870v1,arXiv
2015-06-24 16:26:37,1601.06825v1,arXiv
2015-06-27 17:33:34,1506.08316v2,arXiv
2015-06-29 17:50:20,1506.08754v2,arXiv
2015-08-09 14:14:33,1508.02024v1,arXiv
2015-08-11 14:17:28,1508.02606v1,arXiv
2015-08-12 15:43:16,1508.02959v1,arXiv
2015-08-18 08:18:55,1508.04238v1,arXiv
2015-08-22 08:15:04,1508.05477v1,arXiv
2015-08-24 12:33:10,1508.05782v1,arXiv
2015-09-01 07:03:35,1509.00159v2,arXiv
2015-09-07 06:20:48,1509.01913v3,arXiv
2015-09-15 21:54:21,1509.04751v1,arXiv
2015-09-22 20:35:54,1509.06774v1,arXiv
2015-10-04 20:34:15,1510.00981v3,arXiv
2015-10-07 19:39:26,1510.02073v1,arXiv
2015-10-09 15:47:00,1510.02710v1,arXiv
2015-10-30 23:18:34,1511.00047v1,arXiv
2015-12-09 05:51:11,1512.02758v1,arXiv
2015-12-09 06:25:09,1512.02766v1,arXiv
2015-12-17 05:57:06,1512.05471v1,arXiv
2015-12-23 15:06:05,1512.07506v2,arXiv
2016-01-07 19:30:37,1601.01645v1,arXiv
2016-01-31 12:43:34,1602.00238v2,arXiv
2016-02-01 11:46:41,1602.00484v2,arXiv
2016-02-05 07:50:25,1602.01944v2,arXiv
2016-03-08 00:22:59,1603.02345v3,arXiv
2016-03-15 07:36:10,1603.04581v1,arXiv
2016-04-04 15:21:16,1604.00906v1,arXiv
2016-04-13 08:33:36,1604.03688v2,arXiv
2016-04-20 02:54:21,1604.05797v1,arXiv
2016-04-21 06:55:42,1604.06195v1,arXiv
2016-04-27 20:54:37,1604.08239v1,arXiv
2016-04-29 14:26:55,1604.08848v1,arXiv
2016-05-28 19:29:13,1605.08928v1,arXiv
2016-05-31 09:00:33,1605.09533v1,arXiv
2016-07-02 06:01:16,1607.00470v2,arXiv
2016-07-02 13:35:02,1607.00509v1,arXiv
2016-07-11 13:29:54,1607.02936v2,arXiv
2016-07-22 08:00:55,1607.06587v1,arXiv
2016-08-01 14:34:50,1608.00447v1,arXiv
2016-08-29 17:10:26,1608.08149v1,arXiv
2016-09-05 22:24:08,1609.01344v1,arXiv
2016-10-04 08:01:27,1610.00889v1,arXiv
2016-10-11 01:35:56,1610.03151v2,arXiv
2016-10-12 10:19:36,1610.03660v4,arXiv
2016-10-13 22:32:08,1610.04281v1,arXiv
2016-10-16 17:11:58,1610.04889v1,arXiv
2016-10-25 21:13:55,1610.08098v2,arXiv
2016-10-26 19:41:37,1610.08481v2,arXiv
2016-10-28 14:31:02,1610.09237v1,arXiv
2016-10-28 21:10:02,1610.09405v1,arXiv
2016-11-06 18:27:09,1611.01817v1,arXiv
2016-11-07 10:37:38,1611.02275v1,arXiv
2016-11-10 15:45:35,1611.03354v2,arXiv
2016-11-16 16:50:57,1611.05356v2,arXiv
2016-11-25 17:11:57,1611.08520v1,arXiv
2016-11-28 17:09:11,1611.09243v2,arXiv
2016-11-30 06:00:47,1611.10010v1,arXiv
2016-12-20 23:25:27,1612.06919v1,arXiv
2016-12-26 09:40:45,1612.08350v1,arXiv
2016-12-27 21:08:55,1701.01644v1,arXiv
2016-12-29 01:10:54,1701.02586v1,arXiv
2017-01-09 21:30:03,1701.02357v1,arXiv
2017-01-15 01:58:47,1701.03981v1,arXiv
2017-01-31 00:24:10,1701.08879v1,arXiv
2017-02-04 14:37:38,1702.01295v1,arXiv
2017-02-08 16:52:19,1702.02514v1,arXiv
2017-02-09 10:39:05,1702.02779v2,arXiv
2017-02-13 22:48:03,1702.04004v1,arXiv
2017-02-16 05:40:39,1702.04862v1,arXiv
2017-02-21 22:52:43,1702.06610v1,arXiv
2017-03-01 18:01:52,1703.01243v1,arXiv
2017-03-03 18:03:26,1703.01270v1,arXiv
2017-03-09 21:19:48,1703.03468v2,arXiv
2017-03-11 10:13:25,1703.03941v1,arXiv
2017-03-13 00:43:39,1703.04209v2,arXiv
2017-03-16 02:56:34,1703.05462v1,arXiv
2017-03-16 21:51:23,1703.05834v2,arXiv
2017-03-22 21:56:58,1703.07869v1,arXiv
2017-03-27 05:08:02,1703.08930v1,arXiv
2017-03-27 14:09:12,1703.09090v1,arXiv
2017-04-07 12:23:03,1704.02201v2,arXiv
2017-04-10 15:13:40,1704.02897v1,arXiv
2017-04-12 21:03:52,1704.05915v2,arXiv
2017-04-13 11:55:44,1704.04988v1,arXiv
2017-04-15 19:10:46,1704.04677v2,arXiv
2017-04-21 08:41:21,1704.06444v1,arXiv
2017-04-22 23:37:43,1704.06857v1,arXiv
2017-05-02 18:17:50,1705.01123v1,arXiv
2017-05-04 19:55:23,1705.01993v1,arXiv
2017-05-06 05:08:05,1705.02445v1,arXiv
2017-05-12 07:18:58,1705.04683v1,arXiv
2017-05-13 08:21:32,1705.04798v1,arXiv
2017-05-17 11:10:49,1705.08260v1,arXiv
2017-05-19 19:45:57,1705.07162v2,arXiv
2017-05-25 09:44:34,1705.09107v1,arXiv
2017-06-05 06:26:25,1706.03851v1,arXiv
2017-06-05 14:24:42,1706.01345v2,arXiv
2017-06-07 13:58:51,1706.02192v1,arXiv
2017-06-25 13:10:39,1706.08096v1,arXiv
2017-07-05 19:16:20,1707.01544v1,arXiv
2017-07-13 05:49:14,1707.03984v1,arXiv
2017-07-18 21:12:37,1707.05859v2,arXiv
2017-07-26 17:34:09,1707.08554v2,arXiv
2017-07-28 02:51:11,1707.09092v3,arXiv
2017-07-31 05:49:03,1707.09728v1,arXiv
2017-08-02 05:33:36,1708.00606v1,arXiv
2017-08-02 20:18:10,1708.00919v2,arXiv
2017-08-02 20:28:41,1708.00921v1,arXiv
2017-08-03 14:50:02,1708.01167v1,arXiv
2017-08-03 16:52:14,1708.01208v3,arXiv
2017-08-03 17:25:38,1708.01234v1,arXiv
2017-08-04 04:54:24,1708.01377v1,arXiv
2017-08-04 16:03:52,1708.01566v1,arXiv
2017-08-09 16:20:12,1708.02895v2,arXiv
2017-08-10 21:03:21,1708.04139v1,arXiv
2017-08-11 00:43:19,1708.04672v1,arXiv
2017-08-16 09:40:53,1708.05006v1,arXiv
2017-08-17 08:56:01,1708.05174v2,arXiv
2017-08-22 06:27:18,1708.09706v1,arXiv
2017-08-31 02:34:22,1708.09540v1,arXiv
2017-09-03 11:12:15,1709.00698v3,arXiv
2017-09-04 14:00:59,1709.00965v1,arXiv
2017-09-05 09:04:05,1709.01293v1,arXiv
2017-09-05 11:52:18,1709.01342v1,arXiv
2017-09-05 15:38:26,1709.01459v1,arXiv
2017-09-13 12:55:45,1709.04299v1,arXiv
2017-09-22 00:43:55,1709.07551v1,arXiv
2017-09-25 08:20:17,1709.08364v1,arXiv
2017-09-26 12:13:01,1709.08962v1,arXiv
2017-09-26 17:01:32,1709.09131v1,arXiv
2017-09-27 06:58:20,1709.09359v1,arXiv
2017-10-01 20:10:11,1710.03571v4,arXiv
2017-10-06 22:02:00,1710.02599v1,arXiv
2017-10-10 15:28:23,1710.03655v1,arXiv
2017-10-11 03:08:02,1710.03889v1,arXiv
2017-10-12 17:02:31,1710.04615v2,arXiv
2017-10-27 23:58:31,1710.10356v1,arXiv
2017-10-31 14:08:56,1710.11486v1,arXiv
2017-11-07 10:50:13,1711.02386v1,arXiv
2017-11-14 12:50:35,1711.05087v2,arXiv
2017-11-16 09:19:32,1711.05997v1,arXiv
2017-11-21 19:07:30,1711.07999v1,arXiv
2017-11-23 21:15:52,1711.08828v1,arXiv
2017-11-25 01:09:10,1711.09173v1,arXiv
2017-11-27 07:07:11,1711.09561v1,arXiv
2017-11-28 11:11:03,1711.10228v2,arXiv
2017-11-30 05:46:01,1711.11243v1,arXiv
2017-11-30 21:24:22,1712.00088v1,arXiv
2017-12-06 18:44:41,1712.02322v2,arXiv
2017-12-09 23:45:03,1712.03452v1,arXiv
2017-12-12 07:46:17,1801.01089v1,arXiv
2017-12-15 07:49:04,1712.05570v2,arXiv
2017-12-15 18:02:47,1712.05773v2,arXiv
2017-12-19 19:36:08,1712.07168v2,arXiv
2017-12-23 09:33:29,1712.08745v1,arXiv
2018-01-04 22:00:20,1801.01557v1,arXiv
2018-01-04 22:02:33,1801.01560v1,arXiv
2018-01-09 11:08:49,1801.02884v1,arXiv
2018-01-23 14:50:02,1801.07587v1,arXiv
2018-01-26 11:24:47,1801.08760v1,arXiv
2018-02-01 19:24:22,1802.00463v2,arXiv
2018-02-02 09:39:13,1802.00613v1,arXiv
2018-02-02 10:28:44,1802.00626v1,arXiv
2018-02-02 14:34:12,1802.00700v1,arXiv
2018-02-02 18:51:08,1802.00800v1,arXiv
2018-02-05 06:51:02,1802.01957v1,arXiv
2018-02-06 07:18:51,1802.01826v1,arXiv
2018-02-09 14:25:56,1802.03274v1,arXiv
2018-02-11 23:11:03,1802.03837v1,arXiv
2018-02-12 06:35:41,1802.03906v1,arXiv
2018-02-14 16:53:36,1802.05206v1,arXiv
2018-02-15 23:33:45,1802.05797v2,arXiv
2018-02-26 01:08:51,1802.09119v1,arXiv
2018-02-26 13:42:40,1802.09292v1,arXiv
2018-03-05 03:02:27,1803.01477v1,arXiv
2018-03-06 04:19:24,1803.02009v2,arXiv
2018-03-07 14:16:59,1803.02665v4,arXiv
2018-03-11 10:23:25,1803.03932v1,arXiv
2018-03-12 07:28:13,1803.04139v1,arXiv
2018-03-13 12:43:00,1803.04968v1,arXiv
2018-03-16 12:54:40,1803.06199v2,arXiv
2018-03-21 23:58:35,1803.08177v1,arXiv
2018-03-22 08:38:44,1803.08264v1,arXiv
2018-03-22 17:59:19,1803.08496v3,arXiv
2018-03-22 23:15:59,1803.08610v1,arXiv
2018-03-27 17:31:47,1803.10193v1,arXiv
2018-03-29 23:46:34,1803.11288v1,arXiv
2018-04-10 07:50:14,1804.04186v1,arXiv
2018-04-11 11:45:56,1804.03943v1,arXiv
2018-04-11 17:35:26,1804.04111v1,arXiv
2018-04-16 18:08:51,1804.05870v1,arXiv
2018-04-17 09:11:23,1804.06120v2,arXiv
2018-04-20 11:15:38,1804.07553v1,arXiv
2018-04-20 15:40:39,1804.08386v1,arXiv
2018-04-20 23:56:10,1805.00322v1,arXiv
2018-04-23 00:04:54,1804.08197v4,arXiv
2018-04-23 13:46:01,1804.08424v1,arXiv
2018-04-23 20:57:47,1804.08732v1,arXiv
2018-04-24 18:15:15,1804.09194v1,arXiv
2018-04-25 15:53:03,1805.00328v1,arXiv
2018-04-26 02:49:53,1804.09864v1,arXiv
2018-04-27 04:07:49,1804.10334v1,arXiv
2018-04-27 07:51:32,1804.11247v1,arXiv
2018-04-28 12:26:20,1805.01763v1,arXiv
2018-04-30 15:33:13,1804.11276v1,arXiv
2018-05-04 11:52:35,1805.01725v1,arXiv
2018-05-08 14:38:58,1805.03060v1,arXiv
2018-05-08 18:32:04,1805.03225v1,arXiv
2018-05-09 02:39:38,1805.03354v1,arXiv
2018-05-14 04:01:48,1805.09138v2,arXiv
2018-05-20 03:20:38,1805.07696v1,arXiv
2018-05-24 17:58:02,1805.09817v1,arXiv
2018-05-29 00:08:30,1805.11203v1,arXiv
2018-06-01 12:58:54,1806.00324v1,arXiv
2018-06-02 01:34:12,1806.00567v1,arXiv
2018-06-03 22:51:35,1806.00890v1,arXiv
2018-06-10 10:17:21,1806.03627v1,arXiv
2018-06-11 03:52:07,1806.04724v1,arXiv
2018-06-13 10:08:48,1806.04924v1,arXiv
2018-06-16 05:50:46,1806.06191v1,arXiv
2018-06-17 21:54:11,1806.06454v1,arXiv
2018-06-20 17:03:52,1806.07842v1,arXiv
2018-06-21 17:21:17,1806.08332v5,arXiv
2018-06-22 18:34:48,1806.08814v1,arXiv
2018-06-23 08:22:08,1806.08928v1,arXiv
2018-06-25 08:01:45,1806.09316v1,arXiv
2018-06-27 16:30:57,1806.10557v1,arXiv
2018-06-29 14:18:24,1806.11430v3,arXiv
2018-06-29 18:06:15,1807.00018v1,arXiv
2018-06-30 18:00:24,1807.00212v1,arXiv
2018-07-01 01:42:04,1807.00253v1,arXiv
2018-07-01 06:51:23,1807.00279v1,arXiv
2018-07-02 17:55:08,1807.00803v1,arXiv
2018-07-02 17:59:44,1807.00805v1,arXiv
2018-07-05 12:42:24,1807.01966v1,arXiv
2018-07-06 23:44:51,1807.02587v1,arXiv
2018-07-11 15:13:06,1807.04184v1,arXiv
2018-07-12 12:32:59,1807.04572v1,arXiv
2018-07-16 09:44:54,1807.05759v1,arXiv
2018-07-23 06:45:15,1807.08446v1,arXiv
2018-07-23 12:36:17,1807.08562v1,arXiv
2018-07-23 12:36:54,1807.10659v1,arXiv
2018-07-24 08:42:00,1807.08957v1,arXiv
2018-07-24 12:51:25,1807.09074v1,arXiv
2018-07-30 05:37:06,1807.11179v1,arXiv
2018-08-02 07:16:25,1808.00692v1,arXiv
2018-08-08 05:46:18,1808.06465v1,arXiv
2018-08-10 05:23:37,1808.03413v1,arXiv
2018-08-15 00:20:35,1808.04929v1,arXiv
2018-08-20 09:06:21,1808.06352v1,arXiv
2018-08-21 04:04:20,1808.06753v1,arXiv
2018-08-21 09:49:51,1808.06820v1,arXiv
2018-08-28 10:29:20,1808.09208v1,arXiv
2018-09-02 19:05:26,1809.00375v2,arXiv
2018-09-04 13:52:13,1809.00966v1,arXiv
2018-09-14 16:52:06,1809.05500v1,arXiv
2018-09-15 22:54:05,1809.05780v1,arXiv
2018-09-16 08:43:32,1809.05837v1,arXiv
2018-09-16 22:23:04,1809.05970v1,arXiv
2018-09-17 16:48:28,1809.06320v1,arXiv
2018-09-17 19:57:06,1809.06417v1,arXiv
2018-09-20 12:33:30,1809.07593v1,arXiv
2018-09-21 14:10:55,1809.08134v1,arXiv
2018-09-23 12:22:11,1809.08585v1,arXiv
2018-09-23 16:36:23,1809.08627v1,arXiv
2018-10-03 02:04:15,1810.01564v1,arXiv
2018-10-03 19:43:12,1810.01930v1,arXiv
