date,source,title,url
2018-09-03,abc-news,Billionaire Seahawks owner contributes big to GOP,https://abcnews.go.com/Politics/wireStory/billionaire-seahawks-owner-paul-allen-contributes-big-gop-57579452
2018-09-03,techcrunch,Avrios has quietly raised $14M for an AI-fueled fleet management platform,http://techcrunch.com/2018/09/03/avrios-has-quietly-raised-14m-for-an-ai-fueled-fleet-management-platform/
2018-09-03,techcrunch,"Peep the future of distributed ledgers with the leaders of Hyperledger, Parity Technologies and Tradeshift",http://techcrunch.com/2018/09/03/peep-the-future-of-distributed-ledgers-with-the-leaders-of-hyperledger-parity-technologies-and-tradeshift/
2018-09-03,techradar,"The TVs of IFA 2018: The best screens unveiled by Samsung, LG, Philips and Toshiba",https://www.techradar.com/news/the-tvs-of-ifa-2018-the-best-screens-unveiled-by-samsung-lg-philips-and-toshiba
2018-09-03,techradar,UK''s 'first' large-scale 5G hub to test digital health apps in 2019,https://www.techradar.com/news/uks-first-large-scale-5g-hub-to-test-digital-health-apps-in-2019
2018-09-03,techradar,The best 8K TVs spotted at IFA 2018,https://www.techradar.com/news/the-best-8k-tvs-spotted-at-ifa-2018
2018-09-03,the-new-york-times,Silicon Valley Doesn’t Like Trump. It Can Still Work With the Government.,https://www.nytimes.com/2018/09/03/business/silicon-valley-trump-government.html
2018-09-03,the-new-york-times,Companies Say Trump Is Hurting Business by Limiting Legal Immigration,https://www.nytimes.com/2018/09/02/business/trump-legal-immigration-h1b-visas.html
2018-09-03,the-next-web,"Want to save $163,000 on a comp sci education? Here’s one way...",https://thenextweb.com/offers/2018/09/03/want-to-save-163000-on-a-comp-sci-education-heres-one-way/
2018-09-03,the-verge,Google releases free AI tool to help companies identify child sexual abuse material,https://www.theverge.com/2018/9/3/17814188/google-ai-child-sex-abuse-material-moderation-tool-internet-watch-foundation
2018-09-03,wired,IPUs? These New Chips Are Minted For Marketing,https://www.wired.com/story/ipus-these-new-chips-minted-for-marketing/
2018-09-04,abc-news,"Humans still heft groceries on-demand, for now",https://abcnews.go.com/Technology/wireStory/humans-heft-groceries-demand-now-57590453
2018-09-04,abc-news,Robot boat sails into history by finishing Atlantic crossing,https://abcnews.go.com/Technology/wireStory/robot-boat-sails-history-finishing-atlantic-crossing-57585858
2018-09-04,ars-technica,This lidar/camera hybrid could be a powerful addition to driverless cars,https://arstechnica.com/cars/2018/09/this-lidarcamera-hybrid-could-be-a-powerful-addition-to-driverless-cars/
2018-09-04,ars-technica,"Google celebrates a decade of Google Chrome, launches major redesign",https://arstechnica.com/gadgets/2018/09/google-celebrates-a-decade-of-google-chrome-launches-major-redesign/
2018-09-04,google-news,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",http://feedproxy.google.com/~r/avaxhome/bojL/~3/pHp4JORcyDU/3319983660.html
2018-09-04,google-news,Guide to Vulnerability Analysis for Computer Networks and Systems: An Artificial Intelligence Approach,http://feedproxy.google.com/~r/avaxhome/bojL/~3/WaPH--2u9Jg/3319926233.html
2018-09-04,new-scientist,Watch now: Exploring the Future webinar,http://www.newscientist.com/article/2175641-watch-now-exploring-the-future-webinar/
2018-09-04,new-scientist,The real danger of deepfake videos is that we may question everything,https://www.newscientist.com/article/mg23931933-200-the-real-danger-of-deepfake-videos-is-that-we-may-question-everything/?utm_campaign=RSS%7CNSNS&utm_source=NSNS&utm_medium=RSS&campaign_id=RSS%7CNSNS-
2018-09-04,new-scientist,The real danger of deepfake videos is that we may question everything,https://www.newscientist.com/article/mg23931933-200-the-real-danger-of-deepfake-videos-is-that-we-may-question-everything/?utm_campaign=RSS%7CNSNS&utm_source=NSNS&utm_medium=RSS&utm_content=technology&campaign_id=RSS%7CNSNS-technology
2018-09-04,new-scientist,The real danger of deepfake videos is that we may question everything,https://www.newscientist.com/article/mg23931933-200-the-real-danger-of-deepfake-videos-is-that-we-may-question-everything/?utm_campaign=RSS%7CNSNS&utm_source=NSNS&utm_medium=RSS&campaign_id=RSS%7CNSNS-?cmpid=RSS|NSNS|2012-GLOBAL|magcontents
2018-09-04,techcrunch,What incubators and tech ecosystems can offer health startups,http://techcrunch.com/2018/09/04/what-incubators-and-tech-ecosystems-can-offer-health-startups/
2018-09-04,techradar,"Huawei Watch 3 is in the works, but the company wants to improve AI first",https://www.techradar.com/news/huawei-watch-3-is-in-the-works-but-the-company-wants-to-improve-ai-first
2018-09-04,the-new-york-times,Understanding the times: Satellite Images and Shadow Analysis: How The Times Verifies Eyewitness Videos,https://www.nytimes.com/2018/09/04/reader-center/social-media-video-how-to-verify.html
2018-09-04,the-new-york-times,Line Corp Says to Raise $1.33 Billion Through Convertible Euro Bonds,https://www.nytimes.com/reuters/2018/09/04/technology/04reuters-line-fundraising.html
2018-09-04,the-next-web,"Blockchain doesn’t kill people, but smart contracts can, law professor says",https://thenextweb.com/hardfork/2018/09/04/smart-contracts-super-dumb-blockchain/
2018-09-04,the-next-web,Google just turned 20 — time for it to grow up,https://thenextweb.com/?p=1148546
2018-09-04,the-verge,"Google’s new Chrome design launches with rounded tabs, new mobile layout, and updated password manager",https://www.theverge.com/2018/9/4/17814516/google-chrome-new-design-features
2018-09-04,time,"20 Years Of Google Has Changed the Way We Think. Here’s How, According to a Historian of Information",http://time.com/5383389/google-history-search-information/
2018-09-04,wired,I Invented Autocorrect. Sorry About That; You're Welcome,https://www.wired.com/story/opinion-i-invented-autocorrect/
2018-09-04,wired,How Chrome Spent a Decade Making the Web More Secure,https://www.wired.com/story/chrome-decade-making-the-web-more-secure/
2018-09-04,wired,How Self-Driving Supergroup Aurora Is Making Self-Driving Cars,https://www.wired.com/story/aurora-self-driving-cars-plan/
2018-09-04,wired,Silicon Valley Wants to Use Algorithms for Debt Collection,https://www.wired.com/story/silicon-valley-algorithms-for-debt-collection/
2018-09-05,google-news,Artificial Intelligence and Problem Solving,http://feedproxy.google.com/~r/avaxhome/bojL/~3/ODMf5zeEsfI/194453458X.html
2018-09-05,google-news,Azure Machine Learning Development: 1 Basic Concepts,http://feedproxy.google.com/~r/avaxhome/bojL/~3/EgTFWiw7PUs/Azure-Machine-Learning-Development-1-Basic-Concepts.html
2018-09-05,google-news,Machine Learning and Tensorflow - The Google Cloud Approach,http://feedproxy.google.com/~r/avaxhome/bojL/~3/ZHPANyk6cBg/naag30473.html
2018-09-05,google-news,A&E - In Search Of: Artificial Intelligence (2018),http://feedproxy.google.com/~r/Avaxhome/video/~3/4IzvIUEyJHo/In.Search.Of.Artificial.Intelligence.720p2018.html
2018-09-05,google-news,Azure Machine Learning Development: 1 Basic Concepts,http://feedproxy.google.com/~r/avaxhome/wkEo/~3/EgTFWiw7PUs/Azure-Machine-Learning-Development-1-Basic-Concepts.html
2018-09-05,google-news,A&E - In Search Of: Artificial Intelligence (2018),http://feedproxy.google.com/~r/avaxhome/wkEo/~3/4IzvIUEyJHo/In.Search.Of.Artificial.Intelligence.720p2018.html
2018-09-05,google-news,Kira Systems closes $66 mln Series A with Insight Venture Partners,http://feedproxy.google.com/~r/pehub/blog/vcdeals/~3/itsdmql6C9E/
2018-09-05,hacker-news,Indigo Fair (Sequoia/Khosla startup) is looking to hire a Data Scientist,https://news.ycombinator.com/item?id=17914186
2018-09-05,techcrunch,Lockheed Martin teams up with drone racers to add AI,http://techcrunch.com/2018/09/05/lockheed-martin-teams-up-with-drone-racers-to-add-ai/
2018-09-05,techcrunch,"Clinc expands to automotive, releases SaaS platform for its voice AI assistant",http://techcrunch.com/2018/09/05/clinc-expands-to-automotive-releases-saas-platform-for-its-voice-ai-assistant/
2018-09-05,techcrunch,Meditation app Headspace bets on voice and AI with Alpine.AI acquisition,http://techcrunch.com/2018/09/04/meditation-app-headspace-bets-on-voice-and-a-i-with-alpine-ai-acquisition/
2018-09-05,techcrunch,Announcing Startup Battlefield at Disrupt SF 2018,http://techcrunch.com/2018/09/05/announcing-startup-battlefield-at-disrupt-sf-2018/
2018-09-05,techcrunch,Google’s Launchpad Studio accelerator welcomes a cohort of blockchain and finance startups,http://techcrunch.com/2018/09/05/googles-launchpad-studio-accelerator-welcomes-a-cohort-of-blockchain-and-finance-startups/
2018-09-05,techcrunch,"Juul says it will use technology to help you quit e-cigarettes, too",http://techcrunch.com/2018/09/05/juul-says-it-will-use-technology-to-help-you-quit-e-cigarettes-too/
2018-09-05,techcrunch,"D-ID launches its initial product with customers in printing, automotive and financial services",http://techcrunch.com/2018/09/05/d-id-launches-its-initial-product-with-customers-in-printing-automotive-and-financial-services/
2018-09-05,techcrunch,McCarthyFinch AI services platform automates tedious legal tasks,http://techcrunch.com/2018/09/05/mccarthyfinch-ai-services-platform-automates-tedious-legal-tasks/
2018-09-05,techcrunch,Twitter is considering badging bots — “as far as we can detect them”,http://techcrunch.com/2018/09/05/twitter-is-considering-badging-bots-as-far-as-we-can-detect-them/
2018-09-05,techcrunch,"China is beating the US on AI, says noted investor Kaifu Lee",http://techcrunch.com/2018/09/05/china-is-beating-the-us-on-ai-says-noted-investor-kaifu-lee/
2018-09-05,techcrunch,Lockheed Martin teams up with drone racers to add AI,http://techcrunch.com/2018/09/05/lockheed-martin-teams-up-with-drone-racers-to-add-ai/
2018-09-05,techcrunch,Highlights from the Senate Intelligence hearing with Facebook and Twitter,http://techcrunch.com/2018/09/05/highlights-from-the-senate-intelligence-hearing-with-facebook-and-twitter/
2018-09-05,techcrunch,Are you TC Top Pick material? Apply to exhibit free at Disrupt Berlin,http://techcrunch.com/2018/09/04/are-you-tc-top-pick-material-apply-to-exhibit-free-at-disrupt-berlin/
2018-09-05,techradar,OPPO’s Find X sets the industry trend with first of its pop-up camera technology,https://www.techradar.com/news/oppos-find-x-sets-the-industry-trend-with-first-of-its-pop-up-camera-technology
2018-09-05,techradar,"Xiaomi Redmi 6A, Redmi 6 and Redmi 6 Pro launched in India",https://www.techradar.com/news/xiaomi-redmi-6a-redmi-6-and-redmi-6-pro-launched-in-india
2018-09-05,the-new-york-times,The Politicians Are Coming for Silicon Valley,https://www.nytimes.com/2018/09/04/opinion/twitter-facebook-senate-hearing.html
2018-09-05,the-new-york-times,Live Briefing: Facebook and Twitter Executives Head to Capitol Hill,https://www.nytimes.com/2018/09/05/technology/facebook-twitter-congress.html
2018-09-05,the-verge,AI drone pilots will challenge humans in competition sponsored by Lockheed Martin,https://www.theverge.com/2018/9/5/17822384/ai-autonomous-drone-quadcopter-pilot-drl-drone-racing-league-2019
2018-09-05,the-verge,Google turns 20: how an internet search engine reshaped the world,https://www.theverge.com/2018/9/5/17823490/google-20th-birthday-anniversary-history-milestones
2018-09-05,the-wall-street-journal,Don't Believe the Algorithm,https://www.wsj.com/articles/dont-believe-the-algorithm-1536157620
2018-09-05,wired,"This Hearing Aid Can Translate For You—and Track Steps, Too",https://www.wired.com/story/this-hearing-aid-can-translate-for-you/
2018-09-06,techcrunch,PagerDuty raises $90M to wake up more engineers in the middle of the night,http://techcrunch.com/2018/09/06/pagerduty-raises-90m-to-wake-up-more-engineers-in-the-middle-of-the-night/
2018-09-06,techcrunch,Microsoft commits to fixing custom apps broken by Windows 10 upgrades,http://techcrunch.com/2018/09/06/microsoft-commits-to-fixing-custom-apps-broken-by-latest-windows-updates/
2018-09-06,techcrunch,Forethought looks to reshape enterprise search with AI,http://techcrunch.com/2018/09/05/forethought-looks-to-reshape-enterprise-search-with-ai/
2018-09-06,techcrunch,Secretive semiconductor startup Groq raises $52M from Social Capital,http://techcrunch.com/2018/09/05/secretive-semiconductor-startup-groq-raises-52m-from-social-capital/
2018-09-06,techcrunch,Salesforce updates Sales Cloud ahead of Dreamforce with increased automation,http://techcrunch.com/2018/09/06/salesforce-updates-sales-cloud-ahead-of-dreamforce-with-increased-automation/
2018-09-06,techradar,Best cloud storage 2018: Top options to keep your photos safe,https://www.techradar.com/how-to/photography-video-capture/cameras/best-cloud-storage-for-photos-6-top-options-tested-and-rated-1320891
2018-09-06,the-economist,How social-media platforms dispense justice,https://www.economist.com/business/2018/09/08/how-social-media-platforms-dispense-justice
2018-09-06,the-economist,“Effective altruists” aim to change the world from a Blackpool hotel,https://www.economist.com/britain/2018/09/08/effective-altruists-aim-to-change-the-world-from-a-blackpool-hotel
2018-09-06,the-next-web,This neural network lets you build and evolve little AI creatures,https://thenextweb.com/?p=1149365
2018-09-06,the-next-web,India contemplates introducing a national digital currency to avoid printing money,https://thenextweb.com/hardfork/2018/09/06/indias-central-bank-mulling-own-digital-currency/
2018-09-06,the-verge,Skydio’s self-flying AI drone is now open to app developers,https://www.theverge.com/2018/9/6/17824834/skydio-r1-ai-self-flying-drone-skills-sdk-developers-retail-mass-production-model
2018-09-06,the-wall-street-journal,Quiz: Can You Tell the Difference Between Gmail Smart Reply and a Human?,https://www.wsj.com/articles/quiz-can-you-tell-the-difference-between-gmail-smart-reply-and-a-human-1536255000
2018-09-07,abc-news,Twitter's Alex Jones ban: Blip in sea of abuse?,https://abcnews.go.com/Technology/wireStory/twitters-alex-jones-ban-blip-sea-abuse-57677730
2018-09-07,abc-news,Tesla in turmoil: Stock drops after executive exits and Elon Musk's marijuana hit,https://abcnews.go.com/Business/tesla-turmoil-stock-drops-executive-exits-elon-musks/story?id=57670256
2018-09-07,techcrunch,DARPA announces $2B investment in AI,http://techcrunch.com/2018/09/07/darpa-announces-2b-investment-in-ai/
2018-09-07,techcrunch,Kinta AI uses artificial intelligence to make factories more efficient,http://techcrunch.com/2018/09/06/kinta-ai-startup-battlefield/
2018-09-07,techcrunch,Crossing Minds would like to recommend a few entertainment options,http://techcrunch.com/2018/09/06/crossing-minds-would-like-to-recommend-a-few-entertainment-options/
2018-09-07,techcrunch,The reality of quantum computing could be just three years away,http://techcrunch.com/2018/09/07/the-reality-of-quantum-computing-could-be-just-three-years-away/
2018-09-07,techcrunch,Rigetti announces its hybrid quantum computing platform — and a $1M prize,http://techcrunch.com/2018/09/07/rigetti-announces-its-hybrid-quantum-computing-platform-and-a-1m-prize/
2018-09-07,techcrunch,Latin America is the next stage in the race for dominance in the ride-hailing market,http://techcrunch.com/2018/09/07/latin-america-is-the-next-stage-in-the-race-for-dominance-in-the-ride-hailing-market/
2018-09-07,the-huffington-post,Elon Musk Smoked A Blunt On Joe Rogan’s Podcast,https://www.huffingtonpost.com/entry/elon-musk-smoking-blunt-joe-rogan_us_5b927b4ae4b0cf7b003f0fdb
2018-09-07,the-new-york-times,"NETFLIX Roulette, Where Movies Never End; Algorithm Traps...",https://www.nytimes.com/2018/09/07/movies/netflix-roulette-tau-el-aviso-candy-jar.html
2018-09-07,the-wall-street-journal,Tesla Accounting Chief Leaves After Month on the Job - Wall Street Journal,https://www.wsj.com/articles/tesla-accounting-chief-leaves-after-month-on-the-job-1536326889
2018-09-07,the-wall-street-journal,Elon Musk Appears to Smoke Cannabis in Lengthy Interview,https://www.wsj.com/articles/elon-musk-appears-to-smoke-marijuana-on-camera-in-lengthy-interview-1536318688
2018-09-07,the-wall-street-journal,Elon Musk Appears to Smoke Marijuana,http://www.wsj.com/video/elon-musk-appears-to-smoke-marijuana/142F3B6D-6A09-4E9A-80C2-F458D2E505BE.html
2018-09-07,time,Elon Musk Smokes Marijuana in His First Appearance Since Tweet About Taking Tesla Public,http://time.com/5389781/elon-musk-smokes-marijuana-podcast/
2018-09-07,wired,Elon Musk’s Weed-Toking Goodwill Tour Isn't Enough to Save Tesla,https://www.wired.com/story/elon-musk-weed-toke-tesla/
2018-09-07,wired,"AI Can Recognize Images, But Text Has Been Tricky—Until Now",https://www.wired.com/story/ai-can-recognize-images-but-understand-headline/
2018-09-07,wired,Fake Beto O'Rourke Texts Expose New Playground for Trolls,https://www.wired.com/story/fake-beto-orourke-texts-expose-new-playground-for-trolls/
2018-09-08,techradar,Charting the rise and rise of Ethereum,https://www.techradar.com/news/charting-the-rise-and-rise-of-ethereum
2018-09-08,the-next-web,Putting more plastic in the ocean might actually be a good thing,https://thenextweb.com/contributors/2018/09/08/more-plastic-in-ocean-could-be-positive/
2018-09-08,the-verge,The Pentagon plans to spend $2 billion to put more artificial intelligence into its weaponry,https://www.theverge.com/2018/9/8/17833160/pentagon-darpa-artificial-intelligence-ai-investment
2018-09-09,ars-technica,"What to expect from Apple’s September 12, 2018 “Gather Round” event",https://arstechnica.com/gadgets/2018/09/what-to-expect-from-apples-september-12-2018-gather-round-event/
2018-09-09,hacker-news,Show HN: Full Video Walkthrough of Hacking the Game Pwn Adventure 3,https://news.ycombinator.com/item?id=17946686
2018-09-09,the-verge,"This beautiful map shows everything that powers an Amazon Echo, from data mines to lakes of lithium",https://www.theverge.com/2018/9/9/17832124/ai-artificial-intelligence-supply-chain-anatomy-of-ai-kate-crawford-interview
2018-09-09,the-wall-street-journal,The Wall Street Journal: Alibaba’s Jack Ma likely to unveil succession plan Monday,https://www.wsj.com/articles/alibabas-jack-ma-expected-to-reveal-succession-plan-1536524117
2018-09-09,wired,"This Week in the Future of Cars: What Happened at Tesla, Uber, and Chevy this week",https://www.wired.com/story/future-of-cars-lets-be-blunt/
2018-09-10,abc-news,Scientists say they've developed blood test that can detect internal body clock,https://abcnews.go.com/Health/scientists-developed-blood-test-detect-internal-body-clock/story?id=57731003
2018-09-10,hacker-news,Show HN: Analyzing graffiti with machine learning to explore a street art,https://news.ycombinator.com/item?id=17949255
2018-09-10,new-scientist,We’re not unique – lots of species can recognise themselves,https://www.newscientist.com/article/mg23931942-800-were-not-unique-lots-of-species-can-recognise-themselves/?utm_campaign=RSS%7CNSNS&utm_source=NSNS&utm_medium=RSS&campaign_id=RSS%7CNSNS-
2018-09-10,new-scientist,We’re not unique – lots of species can recognise themselves,https://www.newscientist.com/article/mg23931942-800-were-not-unique-lots-of-species-can-recognise-themselves/?utm_campaign=RSS%7CNSNS&utm_source=NSNS&utm_medium=RSS&campaign_id=RSS%7CNSNS-?cmpid=RSS|NSNS|2012-GLOBAL|magcontents
2018-09-10,techcrunch,Atrium raises $65M from A16z to replace lawyers with machine learning,http://techcrunch.com/2018/09/10/atrium-legal/
2018-09-10,techcrunch,Adobe looks to AI to lift customer experience business,http://techcrunch.com/2018/09/10/adobe-looks-to-ai-to-lift-customer-experience-business/
2018-09-10,techcrunch,SETI neural networks spot dozens of new mysterious signals emanating from distant galaxy,http://techcrunch.com/2018/09/10/seti-neural-networks-spot-dozens-of-new-mysterious-signals-emanating-from-distant-galaxy/
2018-09-10,techcrunch,Zendesk expands into CRM with Base acquisition,http://techcrunch.com/2018/09/10/zendesk-expands-into-crm-with-base-acquisition/
2018-09-10,techcrunch,Zendesk expands into CRM with Base acquisition,http://techcrunch.com/2018/09/10/zendesk-expands-into-crm-with-base-acquisition/
2018-09-10,techradar,Understanding the power of Blockchain infused with AI,https://www.techradar.com/news/understanding-the-power-of-blockchain-infused-with-ai
2018-09-10,techradar,Dispelling workplace productivity myths with UC,https://www.techradar.com/news/dispelling-workplace-productivity-myths-with-uc
2018-09-10,techradar,What will the office of tomorrow look like?,https://www.techradar.com/news/what-will-the-office-of-tomorrow-look-like
2018-09-10,the-next-web,This AI mashes up existing games to create new ones,https://thenextweb.com/?p=1150028
2018-09-10,the-next-web,AI guru Fei Fei Li set to leave Google this year,https://thenextweb.com/?p=1150075
2018-09-10,the-wall-street-journal,"Brain Data Could Read Moods, Potentially Treat Depression - Wall Street Journal",https://www.wsj.com/articles/mapping-moods-in-the-human-brain-1536591601
2018-09-10,wired,This One-Armed Robot Is Super Manipulative (in a Good Way),https://www.wired.com/story/this-one-armed-robot-is-super-manipulative-in-a-good-way/
2018-09-11,abc-news,How Instagram's verification rollout will impact social media influencers,https://abcnews.go.com/Business/instagrams-verification-rollout-impact-social-media-influencers/story?id=57660490
2018-09-11,abc-news,China puts off licenses for US companies amid tariff battle,https://abcnews.go.com/International/wireStory/china-puts-off-licenses-us-companies-amid-tariff-57743795
2018-09-11,ars-technica,This startup helps self-driving cars literally feel the road,https://arstechnica.com/cars/2018/09/this-startup-helps-self-driving-cars-literally-feel-the-road/
2018-09-11,axios,The future of US-China tech fiefdoms - Axios,https://www.axios.com/china-and-the-us-parallel-tech-universes-1536282008-fb9d4c46-88c0-4acb-a992-511a1fd9e286.html
2018-09-11,bloomberg,Google's AI Cloud Star Leaves After Pentagon Deal Protests - Bloomberg,https://www.bloomberg.com/tosv2.html?vid=&uuid=4696b060-b572-11e8-8076-47f11414d1f6&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0wOS0xMC9nb29nbGUtcy1haS1jbG91ZC1zdGFyLWxlYXZlcy1hZnRlci1wZW50YWdvbi1kZWFsLXByb3Rlc3Rz
